,관측일자,수온,수소이온농도,1차 인입압력,2차 인입압력,1차 생산수 TDS,2차 생산수 TDS,탁도,화학적산소요구량,총질소,총인,전체 전력량
0,2021-01-01 0:00,4.7,7.98,59.74,26.86,35.28,0.67,5,1.37,0.403,0.031,3.65
1,2021-01-01 1:00,4.16,7.98,57.52,26.58,36.07,0.68,5,1.42,0.401,0.032,3.63
2,2021-01-01 2:00,4.73,7.97,57.49,26.55,36.16,0.69,5,1.87,0.38,0.029,3.62
3,2021-01-01 3:00,4.98,7.97,57.5,26.56,36.16,0.69,5,0.84,0.38,0.031,3.62
4,2021-01-01 4:00,5.03,7.99,59.46,26.51,36.28,0.69,5,0,0.38,0.032,3.62
5,2021-01-01 5:00,5.01,7.99,61.48,26.53,36.22,0.68,5,1.08,0,0.029,3.62
6,2021-01-01 6:00,5.05,7.99,57.44,26.49,36.34,0.69,5,0.82,0.407,0.029,3.62
7,2021-01-01 7:00,5.11,7.98,57.39,26.42,36.53,0.69,5,0.7,0.398,0.027,3.61
8,2021-01-01 8:00,5.54,7.99,57.45,26.5,36.31,0.69,5,1.24,0.363,0.027,3.62
9,2021-01-01 9:00,4.89,7.99,55.56,26.66,35.85,0.68,5,1.23,0.371,0.032,3.63
10,2021-01-01 10:00,4.92,7.97,57.55,26.62,35.94,0.68,5,1.52,0.38,0.028,3.63
11,2021-01-01 11:00,5.01,7.97,57.48,26.53,36.22,0.69,5,1.46,0.39,0.031,3.62
12,2021-01-01 12:00,5.11,7.97,59.69,26.42,36.53,0.7,5,0.95,0.417,0.032,3.61
13,2021-01-01 13:00,5.15,7.96,57.36,26.38,36.65,0.7,5,1.55,0.428,0.034,3.61
14,2021-01-01 14:00,4.84,7.97,63.14,26.43,36.5,0.7,5,0.97,0.433,0.032,3.62
15,2021-01-01 15:00,4.94,7.99,59.84,26.6,36,0.68,5,1.17,0.423,0.029,3.63
16,2021-01-01 16:00,4.97,8,57.51,26.57,36.1,0.68,5,1.02,0.445,0.035,3.63
17,2021-01-01 17:00,5.31,8,57.48,26.53,36.22,0.68,5,1.44,0.428,0.035,3.62
18,2021-01-01 18:00,5.03,8,55.45,26.51,36.28,0.68,5,1.17,0.419,0.034,3.62
19,2021-01-01 19:00,5.01,8,55.47,26.53,36.22,0.68,5,1.04,0.399,0.032,3.62
20,2021-01-01 20:00,4.99,8.01,59.79,26.55,36.16,0.68,5,1.3,0.399,0.029,3.62
21,2021-01-01 21:00,4.93,8,63.29,26.61,35.97,0.68,5,1.36,0.379,0.03,3.63
22,2021-01-01 22:00,5.72,8,57.55,26.62,35.94,0.68,5,1.34,0.401,0.029,3.63
23,2021-01-01 23:00,5.2,7.98,63.49,26.82,35.37,0.67,5,0,0.397,0.029,3.64
24,2021-01-02 0:00,4.77,7.98,55.66,26.78,35.49,0.67,5,1.63,0.377,0.025,3.64
25,2021-01-02 1:00,4.21,7.97,57.76,26.88,35.22,0.67,5,1.2,0.365,0.029,3.65
26,2021-01-02 2:00,4.79,7.96,57.76,26.76,35.55,0.68,5,1.61,0.362,0.027,3.64
27,2021-01-02 3:00,4.79,7.97,57.66,26.76,35.55,0.68,5,1.28,0.357,0.028,3.64
28,2021-01-02 4:00,4.73,7.98,57.72,26.82,35.37,0.67,5,1.63,0.385,0.031,3.64
29,2021-01-02 5:00,4.75,7.98,63.47,26.8,35.43,0.67,5,2.2,0.385,0.029,3.64
30,2021-01-02 6:00,4.72,7.97,57.72,26.83,35.34,0.67,5,1.59,0.385,0.029,3.65
31,2021-01-02 7:00,4.7,7.97,57.74,26.86,35.28,0.67,5,2.07,0,0.029,3.65
32,2021-01-02 8:00,4.68,7.98,57.76,26.88,35.22,0.67,5,1.84,0.395,0.03,3.65
33,2021-01-02 9:00,4.61,7.98,57.82,26.95,35.01,0.66,5,2.39,0.381,0.03,3.65
34,2021-01-02 10:00,4.65,7.97,57.78,26.91,35.13,0.67,5,2.21,0.382,0.028,3.65
35,2021-01-02 11:00,4.78,7.96,57.67,26.77,35.52,0.68,5,1.4,0.375,0.03,3.64
36,2021-01-02 12:00,4.87,7.96,57.6,26.68,35.8,0.68,5,1,0.414,0.033,3.63
37,2021-01-02 13:00,5.03,7.95,57.46,26.51,36.28,0.7,5,0,0.422,0.032,3.62
38,2021-01-02 14:00,5.22,7.95,57.3,26.31,36.87,0.71,5,0.99,0.426,0.032,3.61
39,2021-01-02 15:00,5.04,7.95,57.45,26.5,36.31,0.7,5,1.12,0.436,0.032,3.62
40,2021-01-02 16:00,5,7.99,55.48,26.54,36.19,0.68,5,1.46,0.444,0.033,3.62
41,2021-01-02 17:00,4.88,8.01,60.59,26.67,35.82,0.67,5,1.48,0.453,0.032,3.63
42,2021-01-02 18:00,4.86,8.01,57.61,26.69,35.76,0.67,5,1.31,0.439,0.03,3.63
43,2021-01-02 19:00,5.06,8.01,57.68,26.78,35.49,0.66,5,1.3,0.427,0.031,3.64
44,2021-01-02 20:00,4.79,8.01,57.66,26.76,35.55,0.67,5,2.01,0.427,0.03,3.64
45,2021-01-02 21:00,4.8,8.01,60.65,26.75,35.58,0.67,5,1.4,0.426,0.031,3.64
46,2021-01-02 22:00,4.51,8,57.68,26.78,35.49,0.67,5,1.14,0.425,0.033,3.64
47,2021-01-02 23:00,4.75,7.99,57.7,26.8,35.43,0.67,5,1.15,0.438,0.029,3.64
48,2021-01-03 0:00,5.07,7.98,57.68,26.78,35.49,0.67,5,1.59,0.424,0.033,3.64
49,2021-01-03 1:00,4.75,7.98,55.7,26.8,35.43,0.67,5,1.93,0.438,0.031,3.64
50,2021-01-03 2:00,4.71,7.96,57.73,26.85,35.31,0.67,5,1.57,0.425,0.028,3.65
51,2021-01-03 3:00,4.77,7.95,57.68,26.78,35.49,0.68,5,1.83,0.422,0.028,3.64
52,2021-01-03 4:00,4.57,7.96,57.85,26.99,34.9,0.66,5,1.87,0.409,0.031,3.65
53,2021-01-03 5:00,4.49,7.96,57.92,27.08,34.66,0.66,5,1.97,0.413,0.029,3.66
54,2021-01-03 6:00,4.53,7.96,57.89,27.04,34.78,0.66,5,1.9,0.414,0.031,3.66
55,2021-01-03 7:00,4.53,7.96,60.89,27.04,34.78,0.66,5,1.82,0.414,0.028,3.66
56,2021-01-03 8:00,4.48,7.97,57.93,27.09,34.63,0.66,5,1.91,0.414,0.03,3.67
57,2021-01-03 9:00,4.76,7.97,60.95,27.11,34.57,0.65,5,1.85,0,0.032,3.67
58,2021-01-03 10:00,4.24,7.97,57.91,27.07,34.69,0.66,5,1.68,0.389,0.033,3.66
59,2021-01-03 11:00,4.59,7.95,59.84,26.97,34.96,0.67,5,1.23,0.377,0.028,3.65
60,2021-01-03 12:00,4.71,7.96,57.73,26.85,35.31,0.67,5,1.3,0.379,0.032,3.65
61,2021-01-03 13:00,5.23,7.95,55.7,26.8,35.43,0.68,5,0.64,0.37,0.029,3.64
62,2021-01-03 14:00,4.91,7.94,57.56,26.63,35.92,0.69,5,1.14,0.379,0.031,3.63
63,2021-01-03 15:00,4.76,7.93,57.69,26.79,35.47,0.68,5,0.82,0.374,0.031,3.64
64,2021-01-03 16:00,4.58,7.94,54.84,26.98,34.93,0.67,5,0.68,0.392,0.032,3.65
65,2021-01-03 17:00,4.62,7.97,57.81,26.94,35.04,0.66,5,1.11,0.375,0.031,3.65
66,2021-01-03 18:00,5.01,7.99,54.73,26.85,35.31,0.67,5,1.03,0.369,0.034,3.65
67,2021-01-03 19:00,4.65,7.99,57.78,26.91,35.13,0.66,5,0.91,0.372,0.032,3.65
68,2021-01-03 20:00,4.61,8,57.82,26.95,35.01,0.66,5,1,0.366,0.029,3.65
69,2021-01-03 21:00,4.57,7.99,57.85,26.99,34.89,0.66,5,1.22,0.373,0.03,3.65
70,2021-01-03 22:00,4.31,7.99,52.07,26.99,34.89,0.66,5,1.27,0.379,0.031,3.65
71,2021-01-03 23:00,4.47,7.99,57.94,27.1,34.6,0.65,5,1.45,0.358,0.032,3.67
