objectid,objectid_1,loc_time,loc_year,loc_qtr,loc_no,loc_nm,sample_day,temp,ph,do_,salinity,cod,coliform_cnt,t_n,t_p,cn,cu,pb,cd,zn,cr,as_,ni,hg,phenol,no3_n,no2_n,nh3_n,din,dip,chl_a,low_do,transparency,toc,din_wqi,dip_wqi,chl_a_wqi,low_do_wqi,transparency_wqi,wqi_score,wqi_grade,gubun,timeseries,x,y
1,1,2019년 1분기,2019,1,1,인천항 도크앞,2019-02-13 9:24,0.6,8.08,12.2,30.02,2.24448,54,0.561,0.045,0,0.00288561,0.00091424,0.00007514,0.01116781,,0.00000773,0.00153819,0,0,0.1859,0.0161,0.19835505,0.40035505,0.0346,3.48,102.8,1.5,1.58,1,3,5,1,1,36,Ⅲ,인천해역,201903,165595.9593,540628.9499
2,2,2019년 1분기,2019,1,34,영흥도 서방,2019-02-12 15:30,2,8.02,11.43,30.99,2.72544,1,0.258,0.038,0,0.00133017,0.00011098,0.00003369,0.0098693,,0.0000136,0.00081578,0.00003,0,0.1684,0.0108,0.03960713,0.21880713,0.0348,0,102,2,1.24,1,3,1,1,1,24,Ⅱ,인천해역,201903,148653.3443,518918.8791
3,3,2019년 1분기,2019,1,3,인천남항 전면,2019-02-13 9:11,0.5,8.12,12.02,30.3,0.6012,18,0.462,0.046,0,0.0020066,0.00023836,0.00004655,0.00835613,,0.00000693,0.00114348,0,0,0.1607,0.0044,0.10587717,0.27097717,0.0309,2.61,102,1.5,1.63,1,2,3,1,1,28,Ⅱ,인천해역,201903,164599.2403,537395.9511
4,4,2019년 1분기,2019,1,4,오이도 북방,2019-02-12 16:57,1.8,8.08,12.19,29.64,2.96592,170,0.889,0.073,0,0.00337544,0.00051722,0.00007143,0.00978919,,0.0000116,0.00386156,0,0,0.2246,0.0143,0.59906321,0.83796321,0.0576,0,107.4,1.2,1.63,5,5,1,1,1,36,Ⅲ,인천해역,201903,172412.9213,528703.3205
5,5,2019년 1분기,2019,1,5,세어도 우측,2019-02-13 10:26,0.9,8.05,11.93,29.56,1.92384,62,0.681,0.049,0,0.00308309,0.00041171,0.00007041,0.00967324,,0.00000786,0.00159155,0,0,0.2654,0.0095,0.2878986,0.5627986,0.042,1.375,101.5,1.1,1.5,4,4,1,1,1,32,Ⅱ,인천해역,201903,162943.9033,552109.3209
6,6,2019년 1분기,2019,1,6,영종도 동남방,2019-02-13 8:55,0.7,8.07,11.88,30.58,2.16432,9,0.433,0.044,0,0.00255068,0.00064589,0.00008589,0.00983825,,0.00001898,0.0041183,0,0,0.1679,0.003,0.08905144,0.25995144,0.0337,1.305,101.1,1.5,1.39,1,3,1,1,1,24,Ⅱ,인천해역,201903,161378.6589,532076.6217
7,7,2019년 1분기,2019,1,7,무의도 남방,2019-02-12 15:39,2.3,8.05,11.29,31.03,1.04208,3,0.219,0.042,0,0.0010193,0.00020466,0.00001401,0.00711589,,0.00000612,0.00033399,0.00008,0,0.1456,0.0013,0.02735137,0.17425137,0.0345,0,101.6,1.2,1.14,1,3,1,1,1,24,Ⅱ,인천해역,201903,146295.9739,524020.6439
8,8,2019년 1분기,2019,1,8,큰가리섬 서북방향,2019-02-12 16:30,1.7,8.09,12.08,30.45,2.96592,10,0.384,0.043,0,0.00216224,0.00052971,0.00004976,0.00863271,,0.00000767,0.00175179,0,0,0.1892,0.0053,0.14508523,0.33958523,0.0318,0.145,103.9,1.7,1.43,1,2,1,1,1,22,Ⅰ,인천해역,201903,164303.7937,525774.3435
9,9,2019년 1분기,2019,1,9,대부도 북단,2019-02-12 16:17,1.9,8.07,12.04,30.68,1.72344,2,0.293,0.04,0,0.0017289,0.00033748,0.00003581,0.00851494,,0.00000934,0.00081965,0,0,0.1933,0.0032,0.07001074,0.26651074,0.0321,3.059,104.7,1.9,1.46,1,2,4,1,1,31,Ⅱ,인천해역,201903,159865.1313,524252.9533
10,10,2019년 1분기,2019,1,10,영흥도 북단,2019-02-12 16:06,1.7,8.07,11.63,30.71,3.12624,1,0.292,0.043,0,0.00578517,0.00027758,0.00006485,0.00976424,,0.00001147,0.00124598,0,0,0.191,0.0109,0.04407059,0.24597059,0.038,0,110.2,1.2,1.13,1,4,1,1,1,26,Ⅱ,인천해역,201903,155689.0467,526123.8003
